,ms,start letter,end letter
0,119629,T,shift
1,208910,shift,h
2,352476,h,space
3,445039,space,space
4,524134,space,u
5,708289,u,n
6,848003,n,a
7,952003,a,n
8,371604,n,i
9,556584,i,m
10,715801,m,o
11,860278,o,u
12,936214,u,space
13,40909,space,space
14,128320,space,D
15,240539,D,d
16,375951,d,e
17,508288,e,l
18,620019,l,c
19,740718,c,backspace
20,940900,backspace,backspace
21,112677,backspace,c
22,217015,c,l
23,560346,l,r
24,659999,r,r
25,804037,r,t
26,868470,t,i
27,940761,i,i
28,84779,i,o
29,223731,o,n
30,296392,n,space
31,415635,space,f
32,488417,f,space
33,536493,space,space
34,652354,space,t
35,707594,t,h
36,796192,h,space
37,868285,space,space
38,176247,space,t
39,348292,t,h
40,512374,h,i
41,624465,i,r
42,808088,r,t
43,83863,t,e
44,212309,e,n
45,276288,n,n
46,380098,n,s
47,448170,s,s
48,680291,s,backspace
49,852464,backspace,u
50,20857,u,n
51,168334,n,i
52,299850,i,t
53,408503,t,e
54,583805,e,space
55,672355,space,space
56,816104,space,S
57,934710,S,shift
58,128488,shift,t
59,236598,t,t
60,304245,t,e
61,395735,e,e
62,544255,e,space
63,624391,space,space
64,776300,space,o
65,844664,o,space
66,928566,space,space
67,155588,space,A
68,271826,A,shift
69,408035,shift,m
70,528292,m,r
71,624545,r,r
72,740107,r,i
73,808390,i,a
74,892207,a,a
75,41509,a,","
76,179790,",",shift
77,260302,shift,W
78,356330,W,w
79,436171,w,h
80,548138,h,n
81,620312,n,n
82,728418,n,i
83,780214,i,i
84,884610,i,n
85,944337,n,t
86,16013,t,t
87,107557,t,h
88,160295,h,space
89,223931,space,space
90,324326,space,o
91,396641,o,o
92,495755,o,u
93,567921,u,r
94,668810,r,e
95,755761,e,space
96,768748,space,o
97,844301,o,o
98,919724,o,space
99,4330,space,space
100,132525,space,h
101,380581,h,u
102,567928,u,m
103,631495,m,a
104,732520,a,n
105,792431,n,space
106,908748,space,e
107,967938,e,e
108,43823,e,n
109,104584,n,n
110,263896,n,t
111,420229,t,s
112,547972,s,.
113,667733,.,space
114,12033,space,backspace
115,216037,backspace,","
116,320204,",",space
117,751912,space,i
118,855639,i,space
119,931566,space,space
120,83932,space,e
121,156368,e,e
122,280633,e,o
123,328530,o,c
124,460149,c,m
125,560239,m,e
126,668563,e,space
127,736417,space,n
128,795902,n,n
129,940462,n,e
130,108775,e,c
131,392336,c,e
132,564406,e,a
133,631861,a,a
134,980515,a,backspace
135,132268,backspace,a
136,216319,a,a
137,360224,a,r
138,536391,r,space
139,624643,space,space
140,784364,space,f
141,888502,f,o
142,960325,o,space
