words,key_hold_duration,interval
16,108 ms,00
84,0 ms,19
72,66 ms,25
69,84 ms,04
32,0 ms,13
70,73 ms,14
82,67 ms,13
79,81 ms,04
83,0 ms,15
84,68 ms,06
32,71 ms,37
8,72 ms,06
83,12 ms,10
32,0 ms,06
67,78 ms,14
79,0 ms,17
85,29 ms,08
76,67 ms,13
68,92 ms,32
66,82 ms,13
8,56 ms,08
32,0 ms,09
66,103 ms,18
69,7 ms,30
32,0 ms,05
65,84 ms,07
8,60 ms,04
83,91 ms,05
65,0 ms,11
73,66 ms,06
68,41 ms,05
32,0 ms,17
84,72 ms,07
79,71 ms,12
32,0 ms,14
82,81 ms,09
69,0 ms,13
83,85 ms,11
69,69 ms,07
77,66 ms,04
66,62 ms,32
76,69 ms,05
69,90 ms,12
32,0 ms,06
66,76 ms,10
65,0 ms,12
67,79 ms,06
75,0 ms,10
83,80 ms,06
84,66 ms,05
65,71 ms,18
71,94 ms,20
69,37 ms,26
32,0 ms,07
67,62 ms,10
72,57 ms,06
65,83 ms,15
82,0 ms,17
68,99 ms,50
83,0 ms,15
190,125 ms,08
32,77 ms,06
79,162 ms,13
16,0 ms,11
78,66 ms,07
69,71 ms,11
32,0 ms,09
67,67 ms,05
65,55 ms,05
78,45 ms,09
78,45 ms,17
79,76 ms,18
84,16 ms,12
32,0 ms,56
83,87 ms,07
69,77 ms,18
80,72 ms,08
69,110 ms,07
8,62 ms,06
65,104 ms,16
82,0 ms,09
65,99 ms,38
84,18 ms,15
69,25 ms,10
32,0 ms,02
67,65 ms,11
72,54 ms,09
8,65 ms,17
79,55 ms,06
76,56 ms,08
69,99 ms,14
76,0 ms,03
71,67 ms,10
69,83 ms,08
83,89 ms,13
32,0 ms,15
70,72 ms,11
82,66 ms,14
79,0 ms,40
77,83 ms,12
32,74 ms,08
80,62 ms,07
73,63 ms,08
78,72 ms,35
73,67 ms,05
8,45 ms,14
75,46 ms,05
73,62 ms,11
83,66 ms,07
72,61 ms,14
32,70 ms,06
66,86 ms,18
65,0 ms,19
67,73 ms,09
79,0 ms,07
78,79 ms,16
83,48 ms,13
190,19 ms,03
32,70 ms,10
70,203 ms,06
16,0 ms,04
65,69 ms,09
82,98 ms,06
32,0 ms,03
70,48 ms,34
82,59 ms,15
79,0 ms,07
77,104 ms,09
32,20 ms,04
84,0 ms,18
72,62 ms,12
69,77 ms,12
32,0 ms,14
84,72 ms,44
82,73 ms,05
85,53 ms,07
84,64 ms,06
72,0 ms,09
188,59 ms,14
32,69 ms,11
16,59 ms,09
84,0 ms,10
72,62 ms,07
8,33 ms,04
8,46 ms,08
84,50 ms,08
72,66 ms,09
69,89 ms,33
32,0 ms,09
77,65 ms,12
79,50 ms,05
77,78 ms,13
32,54 ms,06
79,62 ms,09
70,70 ms,06
32,0 ms,15
65,91 ms,27
32,0 ms,03
83,87 ms,16
8,55 ms,05
82,67 ms,08
79,68 ms,06
79,107 ms,14
83,0 ms,09
84,87 ms,10
69,33 ms,08
82,32 ms,26
32,0 ms,16
67,79 ms,15
8,64 ms,06
66,73 ms,14
69,0 ms,01
67,61 ms,10
79,28 ms,12
77,78 ms,39
69,0 ms,22
83,103 ms,19
32,7 ms,19
65,0 ms,17
32,79 ms,12
67,77 ms,12
72,72 ms,07
79,80 ms,22
82,0 ms,11
68,60 ms,10
65,0 ms,19
76,69 ms,13
32,59 ms,07
72,91 ms,11
89,71 ms,20
68,67 ms,16
82,68 ms,09
79,70 ms,11
71,73 ms,03
69,58 ms,08
78,67 ms,12
190,72 ms,17
32,85 ms,07
65,85 ms,02
16,0 ms,12
32,77 ms,15
84,60 ms,08
69,91 ms,06
77,59 ms,17
80,66 ms,08
79,69 ms,08
32,61 ms,12
67,91 ms,06
65,0 ms,12
78,48 ms,06
32,41 ms,08
72,69 ms,06
65,52 ms,10
82,0 ms,10
68,72 ms,06
76,53 ms,11
89,72 ms,06
32,0 ms,10
66,92 ms,07
69,10 ms,18
32,0 ms,34
67,70 ms,10
79,61 ms,27
78,58 ms,05
83,66 ms,10
73,69 ms,38
68,0 ms,22
69,73 ms,04
82,86 ms,14
69,0 ms,09
68,86 ms,10
32,0 ms,05
65,71 ms,23
32,67 ms,05
80,48 ms,10
85,78 ms,04
82,72 ms,13
69,81 ms,13
82,5 ms,11
32,0 ms,03
67,66 ms,13
82,66 ms,07
69,0 ms,10
68,75 ms,02
73,75 ms,21
84,79 ms,18
32,0 ms,05
87,68 ms,12
73,0 ms,10
84,61 ms,04
72,0 ms,05
79,16 ms,06
85,70 ms,10
84,64 ms,24
32,0 ms,20
65,69 ms,12
76,60 ms,13
83,74 ms,14
79,0 ms,11
32,107 ms,27
66,91 ms,12
69,0 ms,10
73,48 ms,12
78,82 ms,13
71,32 ms,05
32,0 ms,13
65,103 ms,07
32,109 ms,06
80,80 ms,06
65,68 ms,12
74,88 ms,05
65,65 ms,13
77,69 ms,08
65,78 ms,14
190,110 ms,18
32,71 ms,33
16,39 ms,07
84,0 ms,09
72,80 ms,02
69,86 ms,11
32,0 ms,05
70,73 ms,22
73,56 ms,06
82,61 ms,04
83,91 ms,22
84,68 ms,05
32,0 ms,31
67,58 ms,09
79,53 ms,07
77,75 ms,33
73,48 ms,15
8,58 ms,19
66,48 ms,13
73,54 ms,14
78,77 ms,14
69,0 ms,06
68,135 ms,11
32,0 ms,06
69,91 ms,12
65,40 ms,06
83,0 ms,10
69,99 ms,07
32,0 ms,09
73,93 ms,08
83,90 ms,12
32,0 ms,09
8,58 ms,12
188,75 ms,09
32,73 ms,05
73,66 ms,28
78,78 ms,12
32,55 ms,16
73,62 ms,33
84,60 ms,24
83,95 ms,21
32,0 ms,09
79,68 ms,25
87,0 ms,06
78,68 ms,21
32,90 ms,47
87,104 ms,13
65,0 ms,24
89,64 ms,38
188,97 ms,37
32,81 ms,49
65,60 ms,08
32,0 ms,11
80,100 ms,15
65,76 ms,08
78,72 ms,09
84,54 ms,07
89,57 ms,05
72,87 ms,13
79,64 ms,06
83,90 ms,12
69,0 ms,05
32,104 ms,07
8,77 ms,09
190,98 ms,14
32,74 ms,05
16,74 ms,12
69,0 ms,08
88,69 ms,16
88,103 ms,10
8,58 ms,24
84,84 ms,17
69,97 ms,07
78,72 ms,05
68,94 ms,20
73,0 ms,11
78,96 ms,09
71,30 ms,45
32,0 ms,03
84,56 ms,13
72,57 ms,07
73,80 ms,08
83,16 ms,26
32,0 ms,06
76,63 ms,15
79,56 ms,13
71,68 ms,03
73,84 ms,06
67,59 ms,17
188,51 ms,10
32,76 ms,11
84,79 ms,13
72,64 ms,09
69,113 ms,08
32,0 ms,05
71,76 ms,05
85,62 ms,15
89,52 ms,02
8,43 ms,07
73,74 ms,08
68,0 ms,06
69,46 ms,15
83,113 ms,14
32,0 ms,09
67,80 ms,13
79,0 ms,08
85,52 ms,07
76,77 ms,06
68,0 ms,21
32,97 ms,16
66,112 ms,21
69,4 ms,14
32,0 ms,13
83,128 ms,07
65,0 ms,13
73,81 ms,05
68,41 ms,08
32,0 ms,20
84,79 ms,15
79,0 ms,14
32,81 ms,28
82,101 ms,29
69,0 ms,36
83,103 ms,05
69,106 ms,07
77,0 ms,11
66,79 ms,35
76,73 ms,14
69,116 ms,12
32,0 ms,19
82,80 ms,03
69,87 ms,11
68,68 ms,04
68,60 ms,32
69,85 ms,06
83,0 ms,18
84,97 ms,11
32,0 ms,07
77,78 ms,09
79,71 ms,05
78,70 ms,19
75,86 ms,08
69,61 ms,06
83,50 ms,13
8,55 ms,10
73,87 ms,06
69,0 ms,08
83,113 ms,08
32,77 ms,07
8,73 ms,06
190,110 ms,09
32,90 ms,08
16,73 ms,13
70,0 ms,25
82,52 ms,12
65,0 ms,20
77,72 ms,11
69,0 ms,12
68,100 ms,18
32,0 ms,08
73,63 ms,12
78,75 ms,08
32,86 ms,08
65,61 ms,06
32,0 ms,24
68,75 ms,14
73,54 ms,08
70,65 ms,15
70,81 ms,09
69,81 ms,08
82,22 ms,06
69,25 ms,07
78,14 ms,09
84,29 ms,06
32,0 ms,18
87,120 ms,04
65,0 ms,06
89,79 ms,22
188,70 ms,
32,111 ms,
65,66 ms,
78,91 ms,
32,107 ms,
65,71 ms,
68,75 ms,
68,94 ms,
76,0 ms,
69,81 ms,
32,0 ms,
72,68 ms,
69,76 ms,
77,69 ms,
80,58 ms,
32,54 ms,
73,75 ms,
83,30 ms,
32,0 ms,
65,78 ms,
32,0 ms,
86,79 ms,
65,19 ms,
78,0 ms,
