words,key_hold_duration,interval
73,713 ms,
78,84 ms,-194
32,116 ms,-578
82,117 ms,-243
69,107 ms,-136
67,98 ms,-214
69,117 ms,-116
78,97 ms,-132
84,101 ms,-125
32,103 ms,-162
89,67 ms,-221
69,95 ms,-69
65,127 ms,-141
82,96 ms,-160
188,113 ms,-120
8,117 ms,-568
83,127 ms,-161
188,106 ms,-273
32,94 ms,-312
83,110 ms,-135
79,0 ms,-97
77,87 ms,-118
69,88 ms,-106
32,68 ms,-97
84,62 ms,-133
69,202 ms,-127
69,89 ms,-272
77,108 ms,-198
73,104 ms,-181
78,100 ms,-141
71,0 ms,-77
32,90 ms,-124
72,82 ms,-92
69,135 ms,-99
82,0 ms,-85
79,106 ms,-145
78,90 ms,-133
83,119 ms,-91
32,69 ms,-156
65,0 ms,-54
82,161 ms,-172
69,143 ms,-214
32,0 ms,-127
84,105 ms,-120
72,75 ms,-108
79,116 ms,-145
85,115 ms,-176
71,98 ms,-131
72,86 ms,-101
84,88 ms,-116
32,88 ms,-154
79,145 ms,-89
70,107 ms,-174
32,82 ms,-206
83,94 ms,-168
73,0 ms,-72
77,75 ms,-161
32,42 ms,-90
8,88 ms,-385
80,127 ms,-248
76,114 ms,-215
89,89 ms,-363
32,90 ms,-185
65,106 ms,-128
83,129 ms,-136
32,74 ms,-150
78,102 ms,-126
85,62 ms,-170
77,102 ms,-156
66,86 ms,-213
69,110 ms,-88
82,0 ms,-57
83,98 ms,-188
190,0 ms,-71
32,71 ms,-535
78,130 ms,-246
79,148 ms,-234
87,100 ms,-230
72,91 ms,-383
69,102 ms,-95
82,16 ms,-72
69,0 ms,-137
32,73 ms,-405
73,99 ms,-76
83,0 ms,-88
32,67 ms,-147
73,112 ms,-78
84,83 ms,-114
32,72 ms,-117
68,123 ms,-152
73,110 ms,-135
83,120 ms,-136
80,0 ms,-85
85,95 ms,-210
84,86 ms,-154
69,98 ms,-133
68,117 ms,-163
32,90 ms,-145
84,81 ms,-109
72,99 ms,-87
65,85 ms,-111
84,131 ms,-213
32,90 ms,-183
85,89 ms,-128
8,54 ms,-425
65,104 ms,-81
78,117 ms,-127
32,0 ms,-106
85,87 ms,-122
78,77 ms,-156
76,146 ms,-163
65,0 ms,-135
73,105 ms,-144
68,120 ms,-106
32,84 ms,-174
70,123 ms,-167
85,113 ms,-154
82,82 ms,-116
73,103 ms,-125
83,132 ms,-106
32,73 ms,-186
65,98 ms,-163
32,80 ms,-944
77,86 ms,-180
65,0 ms,-64
82,72 ms,-168
8,51 ms,-475
8,46 ms,-138
8,37 ms,-131
8,56 ms,-112
8,40 ms,-152
8,81 ms,-144
8,78 ms,-529
73,84 ms,-354
83,111 ms,-572
32,74 ms,-220
65,103 ms,-148
32,78 ms,-153
77,96 ms,-172
65,110 ms,-137
82,86 ms,-191
66,85 ms,-153
76,134 ms,-158
69,0 ms,-90
32,85 ms,-120
79,150 ms,-88
70,0 ms,-101
32,71 ms,-117
84,108 ms,-76
72,17 ms,-100
69,9 ms,-70
32,12 ms,-91
77,0 ms,-75
73,60 ms,-154
78,78 ms,-113
68,107 ms,-87
190,118 ms,-207
32,65 ms,-367
70,304 ms,-345
65,92 ms,-243
82,97 ms,-180
32,46 ms,-152
70,141 ms,-51
82,0 ms,-131
79,74 ms,-75
32,74 ms,-242
8,86 ms,-300
77,116 ms,-249
32,92 ms,-135
84,95 ms,-102
72,107 ms,-114
69,0 ms,-84
32,75 ms,-110
84,126 ms,-89
82,106 ms,-232
85,110 ms,-143
84,95 ms,-148
72,0 ms,-57
77,43 ms,-1098
8,107 ms,-552
188,34 ms,-584
32,87 ms,-323
70,112 ms,-178
69,205 ms,-140
87,157 ms,-247
32,77 ms,-183
67,119 ms,-150
65,100 ms,-120
78,94 ms,-108
32,82 ms,-128
78,92 ms,-100
65,0 ms,-72
77,97 ms,-151
69,107 ms,-121
32,0 ms,-96
65,112 ms,-123
32,93 ms,-158
71,85 ms,-331
76,96 ms,-125
79,99 ms,-166
83,0 ms,-75
83,110 ms,-148
89,105 ms,-129
32,67 ms,-156
76,115 ms,-95
73,117 ms,-174
69,38 ms,-90
82,0 ms,-68
32,81 ms,-170
84,88 ms,-100
72,0 ms,-59
65,96 ms,-135
84,103 ms,-153
32,96 ms,-132
73,84 ms,-98
83,80 ms,-131
78,102 ms,-91
186,105 ms,-210
8,116 ms,-397
222,180 ms,-253
84,114 ms,-204
32,101 ms,-212
65,86 ms,-216
78,117 ms,-140
