words,key_hold_duration,interval
84,87 ms,
72,64 ms,-179
79,82 ms,-65
83,115 ms,-104
69,16 ms,-94
32,0 ms,-48
67,81 ms,-148
79,0 ms,-78
87,68 ms,-109
66,76 ms,-166
69,0 ms,-58
76,63 ms,-127
76,114 ms,-116
83,14 ms,-55
32,0 ms,-67
65,68 ms,-75
82,22 ms,-50
69,41 ms,-78
32,0 ms,-58
78,64 ms,-114
79,61 ms,-137
84,0 ms,-52
72,67 ms,-119
73,79 ms,-102
78,65 ms,-100
71,11 ms,-53
32,0 ms,-57
77,51 ms,-74
79,71 ms,-110
82,37 ms,-33
69,35 ms,-49
32,0 ms,-57
84,50 ms,-251
72,0 ms,-39
65,65 ms,-88
78,78 ms,-69
32,69 ms,-113
69,84 ms,-103
76,0 ms,-70
69,101 ms,-107
77,0 ms,-86
69,50 ms,-109
78,53 ms,-125
84,0 ms,-40
190,70 ms,-159
83,18 ms,-62
32,0 ms,-79
8,45 ms,-286
8,57 ms,-124
8,82 ms,-111
83,70 ms,-82
190,0 ms,-65
32,51 ms,-102
84,53 ms,-183
72,69 ms,-73
32,113 ms,-91
69,0 ms,-63
8,63 ms,-163
8,62 ms,-132
8,67 ms,-128
8,26 ms,-136
84,127 ms,-91
72,37 ms,-217
8,59 ms,-396
72,56 ms,-165
73,58 ms,-90
83,80 ms,-124
32,0 ms,-60
67,72 ms,-362
79,0 ms,-38
85,50 ms,-123
76,91 ms,-144
68,17 ms,-48
32,0 ms,-85
66,33 ms,-173
69,87 ms,-173
32,0 ms,-62
8,49 ms,-217
188,59 ms,-83
32,51 ms,-129
79,109 ms,-108
82,84 ms,-147
32,0 ms,-53
80,85 ms,-244
69,101 ms,-97
82,0 ms,-58
72,76 ms,-195
65,0 ms,-65
80,80 ms,-119
83,16 ms,-46
32,0 ms,-54
66,80 ms,-560
69,0 ms,-61
70,72 ms,-125
79,74 ms,-73
82,82 ms,-77
69,31 ms,-57
32,0 ms,-57
83,87 ms,-102
84,61 ms,-134
79,66 ms,-70
67,63 ms,-104
75,0 ms,-33
73,51 ms,-127
78,83 ms,-74
71,0 ms,-46
83,66 ms,-105
188,81 ms,-153
32,54 ms,-131
84,177 ms,-253
8,57 ms,-243
84,48 ms,-58
72,81 ms,-133
79,0 ms,-70
85,66 ms,-130
71,0 ms,-56
72,74 ms,-102
84,0 ms,-54
83,91 ms,-103
32,0 ms,-67
87,145 ms,-104
69,0 ms,-82
82,82 ms,-166
69,37 ms,-61
32,0 ms,-82
79,49 ms,-101
78,40 ms,-132
76,98 ms,-183
89,18 ms,-68
32,0 ms,-88
79,92 ms,-213
80,54 ms,-187
73,51 ms,-160
78,79 ms,-125
73,51 ms,-138
79,80 ms,-133
78,71 ms,-132
83,70 ms,-94
188,71 ms,-178
8,56 ms,-251
190,81 ms,-157
32,82 ms,-121
65,87 ms,-95
32,102 ms,-187
67,82 ms,-134
79,0 ms,-73
73,49 ms,-133
76,80 ms,-158
32,0 ms,-71
79,70 ms,-94
70,59 ms,-70
32,0 ms,-31
84,67 ms,-120
72,79 ms,-98
69,56 ms,-49
32,0 ms,-66
69,48 ms,-128
88,75 ms,-216
67,54 ms,-169
76,63 ms,-115
65,56 ms,-79
77,65 ms,-121
65,65 ms,-78
84,69 ms,-137
73,0 ms,-50
79,50 ms,-129
78,79 ms,-95
32,0 ms,-57
73,78 ms,-108
83,31 ms,-42
32,22 ms,-72
65,0 ms,-78
83,88 ms,-176
83,92 ms,-151
85,0 ms,-40
77,70 ms,-166
69,0 ms,-20
68,78 ms,-118
32,71 ms,-99
84,84 ms,-85
79,63 ms,-136
66,8 ms,-155
32,75 ms,-67
8,54 ms,-197
8,76 ms,-130
32,81 ms,-93
66,81 ms,-147
69,35 ms,-50
32,0 ms,-102
65,76 ms,-237
32,0 ms,-67
72,72 ms,-256
85,87 ms,-95
82,66 ms,-114
84,47 ms,-156
73,0 ms,-30
78,96 ms,-116
8,53 ms,-447
8,67 ms,-140
73,75 ms,-958
69,50 ms,-81
83,84 ms,-83
83,100 ms,-143
32,95 ms,-280
84,71 ms,-246
79,65 ms,-86
89,62 ms,-160
190,96 ms,-112
32,65 ms,-149
65,146 ms,-127
32,78 ms,-156
66,47 ms,-374
79,66 ms,-54
65,91 ms,-78
82,0 ms,-61
68,123 ms,-124
32,0 ms,-71
73,71 ms,-89
83,87 ms,-84
32,0 ms,-53
84,46 ms,-119
72,57 ms,-67
69,102 ms,-65
32,0 ms,-61
66,73 ms,-191
8,65 ms,-197
67,71 ms,-110
65,83 ms,-200
83,0 ms,-42
84,90 ms,-167
32,0 ms,-59
79,66 ms,-137
70,83 ms,-99
32,78 ms,-107
65,95 ms,-159
32,104 ms,-122
82,79 ms,-367
69,18 ms,-65
76,0 ms,-86
73,70 ms,-218
71,59 ms,-118
73,0 ms,-41
79,64 ms,-126
78,65 ms,-100
190,73 ms,-183
32,48 ms,-109
73,66 ms,-156
78,74 ms,-141
32,83 ms,-123
65,46 ms,-134
67,62 ms,-128
8,46 ms,-209
78,73 ms,-125
67,0 ms,-50
73,68 ms,-128
69,77 ms,-69
78,78 ms,-91
84,0 ms,-66
32,73 ms,-107
84,71 ms,-249
73,0 ms,-45
77,77 ms,-131
69,0 ms,-16
83,90 ms,-139
32,0 ms,-66
84,49 ms,-417
72,77 ms,-55
69,22 ms,-63
32,0 ms,-68
83,78 ms,-152
8,61 ms,-219
70,76 ms,-71
73,74 ms,-106
82,0 ms,-67
83,86 ms,-68
84,89 ms,-148
32,0 ms,-55
83,83 ms,-476
84,76 ms,-157
73,0 ms,-48
78,84 ms,-117
75,72 ms,-104
79,63 ms,-177
32,80 ms,-143
83,307 ms,-323
65,10 ms,-79
73,0 ms,-65
76,74 ms,-169
66,79 ms,-318
79,72 ms,-81
65,51 ms,-70
84,121 ms,-65
32,0 ms,-101
73,76 ms,-125
83,110 ms,-112
188,67 ms,-126
32,52 ms,-116
73,54 ms,-210
78,84 ms,-117
32,0 ms,-67
84,60 ms,-62
72,71 ms,-119
8,46 ms,-271
8,48 ms,-123
73,72 ms,-117
84,0 ms,-46
83,91 ms,-117
32,0 ms,-63
87,37 ms,-186
79,47 ms,-39
8,41 ms,-204
8,56 ms,-109
79,64 ms,-125
87,81 ms,-94
78,0 ms,-69
32,106 ms,-91
87,109 ms,-192
65,0 ms,-78
89,67 ms,-155
188,85 ms,-68
32,59 ms,-145
65,50 ms,-176
78,70 ms,-89
32,53 ms,-107
69,54 ms,-102
88,73 ms,-175
72,77 ms,-114
65,0 ms,-64
67,68 ms,-154
8,44 ms,-196
8,46 ms,-131
8,57 ms,-120
67,66 ms,-61
72,56 ms,-83
65,57 ms,-70
78,63 ms,-86
71,8 ms,-49
69,0 ms,-44
190,69 ms,-121
32,71 ms,-125
70,153 ms,-624
69,112 ms,-279
87,29 ms,-86
32,0 ms,-99
67,72 ms,-176
65,41 ms,-31
78,0 ms,-42
32,70 ms,-108
78,64 ms,-262
65,47 ms,-103
77,81 ms,-80
69,19 ms,-63
32,0 ms,-59
65,94 ms,-69
32,0 ms,-81
84,79 ms,-131
85,67 ms,-110
84,66 ms,-94
84,72 ms,-124
73,70 ms,-83
32,61 ms,-190
67,65 ms,-136
72,0 ms,-57
65,57 ms,-89
78,60 ms,-107
