words,key_hold_duration,interval
84,70 ms,
72,61 ms,-105
73,56 ms,-132
83,18 ms,-43
32,0 ms,-55
67,74 ms,-107
79,0 ms,-26
85,66 ms,-140
76,57 ms,-175
68,23 ms,-42
32,0 ms,-63
66,101 ms,-151
69,0 ms,-81
188,80 ms,-130
32,66 ms,-133
79,86 ms,-221
82,24 ms,-77
32,0 ms,-60
80,56 ms,-188
69,98 ms,-136
82,0 ms,-61
72,68 ms,-141
65,63 ms,-71
80,48 ms,-132
83,64 ms,-50
32,69 ms,-75
70,70 ms,-186
69,75 ms,-194
87,0 ms,-22
32,78 ms,-102
67,73 ms,-150
65,12 ms,-32
78,0 ms,-59
32,40 ms,-112
78,70 ms,-252
65,0 ms,-65
77,70 ms,-106
69,22 ms,-35
32,0 ms,-66
65,88 ms,-82
32,0 ms,-75
70,87 ms,-119
8,30 ms,-264
80,81 ms,-107
65,30 ms,-68
83,0 ms,-35
84,84 ms,-149
69,0 ms,-63
66,65 ms,-369
79,52 ms,-80
65,102 ms,-60
82,0 ms,-80
68,111 ms,-148
32,0 ms,-86
81,58 ms,-148
85,79 ms,-81
73,69 ms,-209
86,77 ms,-157
69,45 ms,-67
82,29 ms,-80
32,0 ms,-83
84,54 ms,-291
72,70 ms,-55
65,77 ms,-85
84,0 ms,-66
32,76 ms,-190
73,66 ms,-98
83,51 ms,-173
186,103 ms,-168
8,45 ms,-287
78,69 ms,-111
222,69 ms,-111
84,108 ms,-140
32,0 ms,-96
65,68 ms,-252
32,0 ms,-62
66,53 ms,-180
82,101 ms,-75
73,70 ms,-146
84,59 ms,-89
84,79 ms,-111
76,57 ms,-93
69,88 ms,-60
32,0 ms,-70
65,72 ms,-132
76,90 ms,-147
76,78 ms,-155
73,68 ms,-172
71,54 ms,-92
65,94 ms,-101
65,16 ms,-106
84,0 ms,-9
79,58 ms,-180
8,44 ms,-290
8,57 ms,-125
8,55 ms,-124
84,59 ms,-101
79,52 ms,-68
82,77 ms,-90
188,52 ms,-123
8,52 ms,-316
190,104 ms,-113
32,60 ms,-148
65,59 ms,-149
32,71 ms,-203
83,73 ms,-72
87,70 ms,-160
79,46 ms,-119
82,80 ms,-162
68,89 ms,-170
83,65 ms,-96
8,57 ms,-256
70,67 ms,-68
73,64 ms,-72
83,81 ms,-90
72,63 ms,-82
32,43 ms,-97
73,67 ms,-66
83,102 ms,-88
32,0 ms,-49
65,65 ms,-100
32,77 ms,-74
68,92 ms,-144
69,71 ms,-187
65,0 ms,-36
84,35 ms,-155
72,0 ms,-3
222,69 ms,-204
83,109 ms,-76
32,0 ms,-83
78,89 ms,-218
85,57 ms,-282
77,66 ms,-155
69,88 ms,-71
82,0 ms,-58
73,47 ms,-113
67,69 ms,-90
190,40 ms,-166
32,83 ms,-157
65,170 ms,-180
85,68 ms,-194
84,52 ms,-119
72,54 ms,-57
79,67 ms,-147
82,0 ms,-35
83,90 ms,-135
32,51 ms,-90
79,74 ms,-1757
70,0 ms,-63
84,65 ms,-157
69,0 ms,-55
78,61 ms,-75
32,66 ms,-98
77,83 ms,-282
73,55 ms,-158
78,67 ms,-130
8,72 ms,-470
83,73 ms,-560
73,45 ms,-121
78,72 ms,-121
84,75 ms,-396
69,8 ms,-69
82,0 ms,-128
80,113 ms,-196
82,70 ms,-147
69,0 ms,-49
84,91 ms,-141
32,0 ms,-81
84,56 ms,-339
72,83 ms,-95
69,16 ms,-54
32,0 ms,-61
77,65 ms,-88
73,53 ms,-144
83,0 ms,-8
84,91 ms,-149
32,0 ms,-65
65,90 ms,-250
32,0 ms,-85
8,78 ms,-221
83,85 ms,-126
32,0 ms,-46
65,67 ms,-136
32,55 ms,-69
83,67 ms,-271
87,86 ms,-166
69,0 ms,-60
76,69 ms,-108
76,52 ms,-160
73,57 ms,-153
78,69 ms,-90
71,25 ms,-57
32,0 ms,-49
83,69 ms,-124
65,66 ms,-92
8,58 ms,-140
8,72 ms,-123
65,30 ms,-46
83,0 ms,-45
80,66 ms,-144
72,58 ms,-203
65,81 ms,-171
76,46 ms,-101
84,64 ms,-83
190,49 ms,-133
8,53 ms,-202
188,61 ms,-134
32,70 ms,-78
87,65 ms,-101
72,54 ms,-77
69,83 ms,-103
78,61 ms,-85
32,59 ms,-90
73,50 ms,-71
78,61 ms,-114
32,60 ms,-62
65,68 ms,-122
67,80 ms,-83
84,49 ms,-209
85,51 ms,-92
65,67 ms,-107
76,74 ms,-81
73,56 ms,-189
