words,key_hold_duration,interval
87,91 ms,
72,63 ms,-175
65,62 ms,-142
84,102 ms,-100
32,0 ms,-89
87,122 ms,-90
69,43 ms,-78
32,0 ms,-64
68,75 ms,-138
79,39 ms,-87
78,102 ms,-147
222,86 ms,-351
84,103 ms,-107
32,0 ms,-70
75,61 ms,-166
78,58 ms,-126
79,68 ms,-112
87,0 ms,-3
32,55 ms,-97
70,84 ms,-92
8,23 ms,-272
8,40 ms,-111
8,49 ms,-120
8,67 ms,-117
79,71 ms,-119
87,17 ms,-53
32,0 ms,-67
70,82 ms,-87
79,52 ms,-82
82,84 ms,-77
32,0 ms,-64
83,74 ms,-139
85,65 ms,-78
82,115 ms,-96
69,28 ms,-61
32,0 ms,-81
73,52 ms,-117
83,78 ms,-102
32,0 ms,-51
87,77 ms,-157
72,58 ms,-98
69,106 ms,-89
84,108 ms,-155
69,101 ms,-108
72,0 ms,-92
8,40 ms,-206
8,49 ms,-121
72,58 ms,-119
69,38 ms,-33
82,38 ms,-66
32,0 ms,-71
79,64 ms,-227
82,5 ms,-52
32,0 ms,-59
78,58 ms,-51
79,57 ms,-123
84,16 ms,-33
32,0 ms,-63
65,71 ms,-234
32,0 ms,-27
80,57 ms,-139
73,64 ms,-135
71,58 ms,-76
32,0 ms,-42
79,61 ms,-158
70,65 ms,-75
32,0 ms,-44
84,50 ms,-96
72,0 ms,-45
69,88 ms,-85
32,0 ms,-39
67,65 ms,-178
79,70 ms,-67
65,83 ms,-70
83,74 ms,-660
84,94 ms,-146
32,0 ms,-68
73,64 ms,-136
83,100 ms,-135
32,0 ms,-63
65,85 ms,-173
83,66 ms,-109
83,81 ms,-121
85,0 ms,-48
77,75 ms,-144
69,0 ms,-34
68,91 ms,-121
32,0 ms,-73
84,57 ms,-117
79,0 ms,-49
32,72 ms,-69
66,67 ms,-143
69,0 ms,-57
65,153 ms,-110
32,0 ms,-72
72,72 ms,-476
65,79 ms,-124
8,40 ms,-205
8,63 ms,-111
32,56 ms,-76
72,64 ms,-116
65,83 ms,-106
82,0 ms,-64
68,62 ms,-155
66,63 ms,-167
65,55 ms,-71
67,49 ms,-270
75,61 ms,-117
32,49 ms,-101
80,74 ms,-90
73,48 ms,-171
76,52 ms,-172
79,33 ms,-120
84,36 ms,-57
190,71 ms,-104
32,82 ms,-83
84,27 ms,-149
8,50 ms,-237
84,66 ms,-71
72,66 ms,-96
69,16 ms,-64
32,0 ms,-77
76,80 ms,-115
73,73 ms,-202
84,68 ms,-98
69,116 ms,-68
82,15 ms,-102
65,0 ms,-98
84,65 ms,-112
85,47 ms,-92
82,92 ms,-79
69,49 ms,-46
