words,key_hold_duration,interval
84,53 ms,
72,63 ms,-387
69,87 ms,-78
32,0 ms,-78
70,77 ms,-85
82,58 ms,-162
79,58 ms,-79
83,57 ms,-58
84,41 ms,-123
83,107 ms,-112
32,0 ms,-87
67,76 ms,-152
79,40 ms,-77
85,53 ms,-123
76,69 ms,-159
68,19 ms,-51
32,0 ms,-62
66,92 ms,-141
69,0 ms,-72
32,94 ms,-116
83,16 ms,-85
65,0 ms,-90
73,60 ms,-89
68,89 ms,-66
32,0 ms,-66
84,59 ms,-118
79,49 ms,-62
32,60 ms,-68
82,113 ms,-265
69,0 ms,-95
83,81 ms,-136
69,63 ms,-172
77,64 ms,-92
66,63 ms,-110
76,61 ms,-104
69,85 ms,-77
32,0 ms,-68
66,91 ms,-336
65,121 ms,-105
67,75 ms,-157
75,59 ms,-96
83,0 ms,-49
84,67 ms,-148
65,76 ms,-68
71,73 ms,-111
69,42 ms,-73
32,59 ms,-230
67,64 ms,-188
72,4 ms,-118
65,95 ms,-22
82,0 ms,-85
68,69 ms,-210
83,0 ms,-43
190,84 ms,-131
32,77 ms,-165
79,294 ms,-396
78,59 ms,-136
69,61 ms,-67
32,70 ms,-70
67,83 ms,-95
65,35 ms,-55
78,0 ms,-42
78,47 ms,-116
79,70 ms,-97
84,78 ms,-77
32,0 ms,-62
83,64 ms,-130
69,65 ms,-160
80,64 ms,-83
69,67 ms,-311
8,55 ms,-358
65,97 ms,-91
82,0 ms,-86
65,69 ms,-182
84,0 ms,-62
69,85 ms,-83
32,0 ms,-49
67,71 ms,-204
79,44 ms,-178
76,51 ms,-152
76,52 ms,-107
69,72 ms,-57
71,0 ms,-61
69,71 ms,-376
83,101 ms,-143
32,17 ms,-60
70,0 ms,-82
82,67 ms,-150
79,0 ms,-45
32,58 ms,-174
8,55 ms,-190
77,60 ms,-131
32,48 ms,-108
80,63 ms,-95
73,53 ms,-183
78,79 ms,-122
75,67 ms,-124
73,57 ms,-127
83,67 ms,-94
72,0 ms,-54
32,70 ms,-116
66,87 ms,-172
65,0 ms,-59
67,67 ms,-150
79,53 ms,-87
78,60 ms,-101
83,60 ms,-80
190,61 ms,-123
32,70 ms,-120
70,88 ms,-104
65,83 ms,-114
82,86 ms,-111
32,62 ms,-88
70,60 ms,-104
82,65 ms,-130
79,0 ms,-50
77,66 ms,-88
32,55 ms,-92
84,56 ms,-59
72,86 ms,-173
69,32 ms,-76
32,0 ms,-75
84,47 ms,-164
82,65 ms,-127
85,55 ms,-75
84,68 ms,-130
72,0 ms,-47
188,31 ms,-223
32,70 ms,-105
84,64 ms,-204
72,64 ms,-96
69,82 ms,-74
32,6 ms,-63
77,0 ms,-59
79,55 ms,-130
77,76 ms,-77
32,59 ms,-89
79,57 ms,-98
70,66 ms,-68
32,0 ms,-37
65,80 ms,-99
32,0 ms,-47
82,64 ms,-149
79,53 ms,-92
83,75 ms,-73
8,52 ms,-242
79,69 ms,-102
83,58 ms,-77
84,64 ms,-120
69,19 ms,-50
82,0 ms,-103
32,66 ms,-95
66,71 ms,-205
69,0 ms,-43
67,87 ms,-183
79,0 ms,-55
77,82 ms,-96
69,0 ms,-51
83,101 ms,-118
32,35 ms,-81
65,0 ms,-78
32,64 ms,-98
67,60 ms,-146
72,66 ms,-140
79,77 ms,-152
82,42 ms,-94
68,78 ms,-132
65,0 ms,-42
76,79 ms,-119
32,50 ms,-112
72,64 ms,-188
89,65 ms,-362
68,76 ms,-266
82,64 ms,-167
79,64 ms,-133
71,0 ms,-55
69,72 ms,-134
78,60 ms,-97
190,60 ms,-187
32,66 ms,-89
65,186 ms,-353
32,80 ms,-178
84,71 ms,-122
69,87 ms,-79
77,51 ms,-109
80,55 ms,-143
79,71 ms,-133
32,67 ms,-93
67,85 ms,-187
