words,key_hold_duration,interval
87,65 ms,
72,65 ms,-144
65,23 ms,-90
84,82 ms,-179
32,67 ms,-100
87,106 ms,-127
69,0 ms,-80
32,46 ms,-216
68,70 ms,-143
79,0 ms,-44
78,70 ms,-143
222,72 ms,-202
84,77 ms,-96
32,75 ms,-78
75,67 ms,-303
78,66 ms,-105
79,70 ms,-124
87,70 ms,-71
32,0 ms,-36
70,60 ms,-148
79,73 ms,-73
82,0 ms,-68
32,40 ms,-84
83,16 ms,-92
85,72 ms,-120
82,83 ms,-124
69,34 ms,-72
32,0 ms,-53
73,73 ms,-111
83,31 ms,-57
32,0 ms,-67
87,83 ms,-137
72,65 ms,-138
69,94 ms,-125
84,86 ms,-111
72,69 ms,-108
69,39 ms,-59
82,13 ms,-79
32,0 ms,-81
79,62 ms,-83
82,17 ms,-52
32,0 ms,-64
78,52 ms,-80
79,70 ms,-108
84,3 ms,-42
32,0 ms,-67
65,90 ms,-64
32,0 ms,-70
80,56 ms,-93
73,67 ms,-145
71,21 ms,-63
32,0 ms,-54
79,72 ms,-87
70,78 ms,-73
32,0 ms,-59
84,61 ms,-98
72,60 ms,-65
69,86 ms,-81
32,0 ms,-64
67,102 ms,-164
79,0 ms,-50
65,85 ms,-88
83,0 ms,-58
84,82 ms,-120
32,15 ms,-65
73,0 ms,-52
83,110 ms,-83
32,0 ms,-75
65,72 ms,-126
83,80 ms,-85
83,50 ms,-144
85,0 ms,-46
77,73 ms,-136
69,0 ms,-25
68,65 ms,-142
32,0 ms,-57
84,57 ms,-140
79,0 ms,-37
32,62 ms,-100
66,65 ms,-113
69,0 ms,-54
32,80 ms,-111
65,11 ms,-71
32,0 ms,-84
72,62 ms,-336
65,57 ms,-63
82,0 ms,-40
68,75 ms,-143
66,90 ms,-121
65,57 ms,-91
67,59 ms,-111
75,0 ms,-40
32,50 ms,-126
80,67 ms,-89
73,54 ms,-172
76,36 ms,-167
79,45 ms,-127
190,52 ms,-210
8,44 ms,-300
84,67 ms,-71
190,62 ms,-80
32,67 ms,-104
84,160 ms,-301
72,59 ms,-132
69,8 ms,-46
32,0 ms,-79
76,84 ms,-117
73,66 ms,-198
84,8 ms,-52
69,0 ms,-60
82,100 ms,-102
65,0 ms,-90
84,67 ms,-100
85,0 ms,-65
82,61 ms,-108
69,14 ms,-24
32,0 ms,-93
87,80 ms,-195
79,38 ms,-97
85,51 ms,-147
76,70 ms,-144
68,3 ms,-56
32,0 ms,-81
72,59 ms,-97
65,46 ms,-36
86,12 ms,-74
69,24 ms,-61
32,26 ms,-87
85,0 ms,-57
83,119 ms,-69
32,0 ms,-94
66,75 ms,-151
69,0 ms,-9
76,111 ms,-191
73,77 ms,-202
69,70 ms,-80
86,9 ms,-63
69,7 ms,-69
32,0 ms,-102
72,52 ms,-160
8,52 ms,-227
84,43 ms,-58
72,73 ms,-76
65,27 ms,-28
84,22 ms,-63
32,0 ms,-51
