letter 1,letter 2,ms
3,8,3676
10,3,2154
2,9,3607
25,10,2440
2,22,4054
25,2,261
16,26,2965
22,14,3717
11,25,2954
18,5,1145
22,6,2312
18,16,1843
23,1,4157
17,2,1014
25,10,4760
24,1,1820
10,10,4080
18,8,1454
12,7,4932
20,26,2583
20,9,1492
24,8,1189
2,11,55
22,26,4932
22,23,3773
22,17,3561
5,24,2592
23,5,2027
26,25,3226
15,4,92
10,23,2433
10,12,3521
26,15,3729
26,7,3586
3,7,3002
2,7,4383
19,14,2697
18,7,3676
3,11,1832
17,9,3231
10,11,632
12,3,1406
14,15,2702
17,10,3348
4,22,2035
24,15,4800
5,20,4828
13,13,2173
1,19,2069
19,25,1368
5,16,1836
13,24,432
12,9,2829
21,19,855
17,21,2288
6,4,2529
9,17,108
4,10,3990
21,9,3579
18,17,1228
1,13,174
13,1,3965
20,11,283
20,20,883
26,24,1947
23,10,424
2,3,3682
25,6,678
19,8,1426
23,25,3833
25,18,2451
1,15,2245
10,15,2139
4,21,927
24,14,61
5,1,479
4,4,1205
2,13,1232
3,8,137
22,16,4035
6,1,4554
17,19,1737
15,23,1402
18,1,4518
11,8,4264
14,16,4124
13,14,4347
22,14,2957
2,25,4059
10,16,3865
8,24,2593
16,22,2646
14,10,4170
14,10,2107
13,23,1254
2,13,2551
22,3,906
13,7,155
22,6,3142
24,19,4854
16,10,1187
17,18,3576
16,13,4724
14,14,4164
24,13,1262
19,19,4993
23,16,1063
21,26,3935
12,19,4383
9,6,903
25,3,4789
1,3,4870
10,18,1810
15,22,721
12,13,2423
14,13,2717
22,7,2819
2,24,1762
23,24,3146
26,7,2007
19,2,4970
11,22,1312
23,7,2950
8,12,1134
6,8,1838
19,4,2215
24,6,2958
23,1,1682
24,15,3520
17,19,3996
4,2,1242
8,23,1001
7,8,480
14,20,935
15,13,3923
26,24,411
26,10,4054
11,3,2901
2,26,3754
18,1,838
20,4,3868
17,23,4567
18,9,2188
17,24,4444
15,14,2200
5,7,4984
8,22,2608
17,3,1130
1,26,37
4,23,413
5,4,2219
6,17,839
7,6,903
12,26,1699
26,15,2217
5,1,4896
19,23,2954
12,13,866
16,20,1084
11,23,555
23,4,4060
6,11,2423
5,22,3006
19,23,417
3,5,590
6,10,4827
25,15,3438
7,18,2249
11,9,3763
13,8,3265
10,12,2599
21,7,2343
17,7,3475
11,26,1061
15,18,1061
26,3,798
15,9,3698
7,10,4727
8,23,1624
17,17,2450
15,2,2229
6,3,1531
21,12,2998
13,9,3011
15,21,373
17,25,1675
13,12,3461
13,20,3326
18,12,692
21,1,3430
16,22,3231
9,11,907
18,2,426
5,23,1046
11,8,3605
18,24,3162
18,12,2432
15,3,3629
14,4,3657
21,23,737
7,1,384
24,4,4890
6,18,325
25,6,2531
23,11,1012
4,5,803
10,3,1438
20,24,938
15,16,3424
7,20,1276
23,26,2961
13,16,2373
13,25,4470
9,5,1160
17,23,1996
26,18,2744
9,8,2608
1,11,3676
3,4,1095
3,5,2265
22,24,1605
6,14,3833
16,20,3285
15,16,3874
25,13,2844
16,7,4151
2,25,2912
10,18,4692
12,15,1716
13,6,1044
14,24,1142
25,19,3446
8,4,2405
14,23,2180
3,8,2653
6,4,1859
23,24,4761
17,18,4548
1,11,2360
22,10,285
13,26,2456
22,5,1479
8,26,1412
13,4,1163
4,26,1394
4,18,3481
11,2,1049
6,13,1235
24,4,3375
9,16,2118
4,9,4812
18,14,483
15,26,3116
3,24,3843
12,17,1798
26,9,3003
23,11,2514
18,9,746
5,6,1405
6,24,3961
9,9,1346
17,18,841
20,17,2209
7,8,3542
7,7,3933
5,22,4155
16,13,4123
20,9,4966
22,10,1734
6,6,1096
23,21,269
21,1,4543
19,11,3265
6,8,821
15,14,3363
6,13,3920
18,8,752
4,2,3137
15,26,410
8,22,1711
7,22,1715
17,10,2828
13,14,4584
13,23,3006
9,16,1171
17,20,598
20,14,3197
8,7,2528
24,24,3674
12,3,94
9,2,3904
12,14,3957
21,7,3487
7,17,4943
15,17,1242
5,4,2028
5,3,1033
17,19,2240
23,26,4047
22,3,4093
13,26,817
20,12,1318
17,26,3014
23,8,1257
18,8,4978
26,12,1527
7,4,369
9,15,600
3,20,2076
10,18,3718
10,14,3163
5,25,3383
20,2,1614
9,14,3859
21,12,2562
20,24,2578
15,26,3059
10,13,3228
20,16,547
6,4,3398
20,14,4195
14,15,35
19,1,2998
1,4,3045
11,5,2377
4,8,3464
25,22,4352
11,23,3025
6,16,2967
12,9,4470
12,3,4155
11,11,2290
6,21,4433
21,1,20
17,24,1843
3,9,4585
4,6,1122
10,16,534
4,19,585
19,25,2623
19,1,4087
8,21,3256
24,23,4390
13,10,1029
12,2,685
24,19,4306
4,2,4928
11,23,1446
1,3,1867
25,23,2029
15,18,2149
23,9,4527
10,14,647
9,5,3875
6,19,4919
1,19,557
25,6,329
20,10,1511
2,14,3083
12,12,3752
13,11,1017
23,11,549
3,19,3496
8,17,2288
5,1,1281
19,24,2364
1,20,2572
11,12,4525
24,9,2283
2,26,3469
9,11,2228
3,18,946
7,21,2603
24,20,2245
1,15,1584
7,22,256
26,5,2977
10,16,864
14,7,4640
24,6,1573
24,1,1017
22,7,1191
4,21,2897
2,24,2274
24,17,2144
3,17,1440
6,18,4164
18,26,2853
10,16,2135
10,25,479
12,10,1026
22,8,852
20,16,2240
26,26,512
26,8,4782
21,9,2115
20,10,2654
1,25,3408
24,24,619
2,24,826
10,26,4939
24,25,40
2,11,4860
12,3,2762
16,17,760
6,23,2723
12,23,1153
16,1,3741
7,26,4022
2,18,2963
23,18,2329
15,22,2320
22,24,3870
6,20,4444
7,25,4271
21,16,1901
2,6,848
12,16,2918
1,18,4010
6,6,2115
10,16,2250
20,18,772
12,5,663
19,12,2486
9,16,999
17,21,2439
5,25,298
8,7,1711
16,15,2107
1,15,3840
14,9,3711
8,15,1731
16,18,1571
24,20,4268
22,25,511
25,13,2057
5,5,550
16,10,30
26,21,3420
14,9,4113
24,24,611
10,7,4495
26,6,4891
1,20,662
19,8,329
11,22,3387
2,5,3065
12,9,1327
12,7,4669
21,4,2349
13,23,952
21,19,3558
14,3,4878
3,12,4276
15,23,2505
9,5,1643
11,20,3569
22,24,474
18,3,670
8,3,4060
9,18,3081
23,14,1565
1,21,2240
13,7,668
3,13,4918
20,9,4661
3,12,4847
12,24,4442
8,16,3241
5,21,394
4,12,2791
26,13,1387
12,2,3755
20,21,4053
12,2,2269
11,17,2779
2,8,4843
1,26,2492
21,8,2365
15,8,1936
19,19,2585
21,21,1242
11,1,1527
15,5,1054
20,9,19
18,2,3400
14,4,2620
7,23,2793
8,17,2055
6,7,4275
20,7,3594
20,19,409
23,8,12
17,11,4667
12,11,3435
26,22,2326
6,6,1534
25,5,1227
13,19,4870
17,23,4063
15,14,667
21,2,120
22,18,650
7,8,1183
11,15,74
6,17,4574
4,11,3312
8,24,401
25,25,3030
2,26,4907
10,14,3043
14,3,4749
17,1,523
23,13,3256
9,1,445
18,20,3569
16,9,2730
18,20,2436
5,18,4970
18,18,77
6,4,149
11,7,103
2,21,976
19,9,715
11,4,2984
15,1,950
25,18,3485
4,10,3105
14,7,4697
1,4,43
9,3,1694
11,8,3440
8,3,1288
4,7,2620
4,12,4173
4,10,3822
9,18,1891
26,18,4724
22,11,1337
8,22,1897
1,13,4080
8,20,4497
10,9,1212
6,13,1738
12,26,3064
23,10,2990
17,21,358
3,17,3576
6,26,2996
23,18,1416
3,23,684
23,21,1358
3,5,2752
16,14,1058
13,25,748
7,11,2257
10,9,2084
15,1,3415
23,1,2016
24,20,1540
24,15,1763
22,11,5
16,8,2287
18,22,2727
20,2,2751
8,11,1107
1,16,3179
12,16,4587
2,3,3059
4,21,2003
17,15,591
24,15,3678
13,2,4436
12,9,1999
12,16,1591
14,17,2955
26,2,810
9,3,1854
20,12,810
6,5,3503
18,16,3542
7,3,3730
18,20,4657
3,21,840
11,24,4578
24,4,4254
5,5,894
3,2,3376
8,22,4114
3,7,3345
4,19,4348
25,23,4670
15,26,4363
18,7,2979
21,23,3443
13,6,3750
26,7,1221
22,20,1501
16,2,1018
19,14,1209
23,2,4833
3,22,2268
6,17,4564
5,21,3339
17,12,264
7,6,4187
5,14,1114
21,23,4719
10,15,3801
20,15,1414
3,7,203
14,3,3063
25,8,2940
2,11,2605
1,5,924
22,13,2844
15,18,1033
7,15,1781
10,19,1876
10,23,1659
11,2,3369
4,16,419
23,5,916
25,1,2457
23,16,926
1,20,4789
21,11,1858
18,6,4791
26,22,4123
26,10,4567
22,14,1777
3,7,2558
11,10,836
1,22,2
11,26,2333
12,6,3694
13,6,2231
3,5,2530
10,19,4951
26,16,4201
22,2,3818
1,21,4847
6,12,2626
4,25,3107
7,16,2627
11,24,3097
24,25,1596
13,21,4227
1,11,4511
16,20,3800
13,22,2828
19,7,1097
23,1,647
12,3,3270
20,10,59
13,16,326
4,11,3812
6,17,2430
1,3,2709
2,11,17
2,2,4597
4,25,3695
26,16,4436
22,24,4355
5,6,855
23,2,1401
11,1,1933
26,16,3625
5,18,227
6,23,3143
21,7,4829
3,14,18
26,4,4115
11,16,3902
19,1,1285
11,6,3385
26,15,4581
25,22,4328
21,23,3441
