ms,start letter,end letter
3676,C,H
2154,J,C
3607,B,I
2440,Y,J
4054,B,V
261,Y,B
2965,P,Z
3717,V,N
2954,K,Y
1145,R,E
2312,V,F
1843,R,P
4157,W,A
1014,Q,B
4760,Y,J
1820,X,A
4080,J,J
1454,R,H
4932,L,G
2583,T,Z
1492,T,I
1189,X,H
55,B,K
4932,V,Z
3773,V,W
3561,V,Q
2592,E,X
2027,W,E
3226,Z,Y
92,O,D
2433,J,W
3521,J,L
3729,Z,O
3586,Z,G
3002,C,G
4383,B,G
2697,S,N
3676,R,G
1832,C,K
3231,Q,I
632,J,K
1406,L,C
2702,N,O
3348,Q,J
2035,D,V
4800,X,O
4828,E,T
2173,M,M
2069,A,S
1368,S,Y
1836,E,P
432,M,X
2829,L,I
855,U,S
2288,Q,U
2529,F,D
108,I,Q
3990,D,J
3579,U,I
1228,R,Q
174,A,M
3965,M,A
283,T,K
883,T,T
1947,Z,X
424,W,J
3682,B,C
678,Y,F
1426,S,H
3833,W,Y
2451,Y,R
2245,A,O
2139,J,O
927,D,U
61,X,N
479,E,A
1205,D,D
1232,B,M
137,C,H
4035,V,P
4554,F,A
1737,Q,S
1402,O,W
4518,R,A
4264,K,H
4124,N,P
4347,M,N
2957,V,N
4059,B,Y
3865,J,P
2593,H,X
2646,P,V
4170,N,J
2107,N,J
1254,M,W
2551,B,M
906,V,C
155,M,G
3142,V,F
4854,X,S
1187,P,J
3576,Q,R
4724,P,M
4164,N,N
1262,X,M
4993,S,S
1063,W,P
3935,U,Z
4383,L,S
903,I,F
4789,Y,C
4870,A,C
1810,J,R
721,O,V
2423,L,M
2717,N,M
2819,V,G
1762,B,X
3146,W,X
2007,Z,G
4970,S,B
1312,K,V
2950,W,G
1134,H,L
1838,F,H
2215,S,D
2958,X,F
1682,W,A
3520,X,O
3996,Q,S
1242,D,B
1001,H,W
480,G,H
935,N,T
3923,O,M
411,Z,X
4054,Z,J
2901,K,C
3754,B,Z
838,R,A
3868,T,D
4567,Q,W
2188,R,I
4444,Q,X
2200,O,N
4984,E,G
2608,H,V
1130,Q,C
37,A,Z
413,D,W
2219,E,D
839,F,Q
903,G,F
1699,L,Z
2217,Z,O
4896,E,A
2954,S,W
866,L,M
1084,P,T
555,K,W
4060,W,D
2423,F,K
3006,E,V
417,S,W
590,C,E
4827,F,J
3438,Y,O
2249,G,R
3763,K,I
3265,M,H
2599,J,L
2343,U,G
3475,Q,G
