words,key_hold_duration,interval
87,100 ms,
72,111 ms,-102
65,45 ms,-112
84,106 ms,-105
32,0 ms,-91
87,101 ms,-109
69,0 ms,-74
32,48 ms,-181
68,58 ms,-160
79,71 ms,-85
78,59 ms,-144
222,71 ms,-186
84,27 ms,-68
32,0 ms,-54
75,45 ms,-191
78,62 ms,-116
79,63 ms,-109
87,9 ms,-52
32,0 ms,-63
70,80 ms,-95
79,63 ms,-139
82,23 ms,-45
32,0 ms,-63
83,79 ms,-115
85,66 ms,-189
82,123 ms,-161
69,29 ms,-77
32,0 ms,-58
73,53 ms,-137
83,86 ms,-53
32,0 ms,-67
87,65 ms,-237
72,56 ms,-102
69,113 ms,-115
84,94 ms,-149
69,112 ms,-106
72,63 ms,-115
8,35 ms,-213
8,33 ms,-109
72,59 ms,-113
69,107 ms,-68
82,36 ms,-54
32,0 ms,-65
79,67 ms,-128
82,83 ms,-84
32,0 ms,-60
78,51 ms,-73
79,55 ms,-123
84,17 ms,-46
32,0 ms,-48
65,69 ms,-81
32,0 ms,-39
71,50 ms,-109
8,54 ms,-218
80,60 ms,-113
73,57 ms,-142
71,25 ms,-41
32,0 ms,-52
79,58 ms,-84
70,83 ms,-58
32,0 ms,-49
84,56 ms,-95
72,59 ms,-61
69,99 ms,-80
32,0 ms,-69
67,88 ms,-389
79,5 ms,-66
65,9 ms,-62
83,0 ms,-73
84,72 ms,-138
32,0 ms,-66
73,63 ms,-73
83,82 ms,-136
32,0 ms,-59
65,62 ms,-357
83,0 ms,-52
83,64 ms,-129
85,0 ms,-61
77,73 ms,-136
69,0 ms,-53
68,70 ms,-152
32,0 ms,-45
84,62 ms,-113
79,48 ms,-62
32,63 ms,-58
66,35 ms,-152
69,106 ms,-40
32,89 ms,-165
65,74 ms,-105
32,25 ms,-267
72,78 ms,-286
65,58 ms,-97
82,0 ms,-30
68,67 ms,-176
66,73 ms,-151
65,63 ms,-73
67,71 ms,-114
75,0 ms,-54
32,56 ms,-99
80,59 ms,-112
73,63 ms,-155
76,53 ms,-163
79,46 ms,-121
84,65 ms,-51
190,56 ms,-131
32,48 ms,-99
84,104 ms,-125
72,55 ms,-61
69,102 ms,-226
32,0 ms,-69
76,77 ms,-269
73,60 ms,-153
84,62 ms,-86
69,0 ms,-44
82,97 ms,-118
65,0 ms,-77
84,95 ms,-111
85,0 ms,-90
82,108 ms,-87
69,30 ms,-24
32,0 ms,-84
87,110 ms,-214
79,61 ms,-171
85,64 ms,-156
76,60 ms,-170
68,17 ms,-49
32,0 ms,-73
72,63 ms,-150
65,69 ms,-65
86,32 ms,-51
69,20 ms,-63
32,21 ms,-105
85,0 ms,-55
83,90 ms,-77
32,0 ms,-72
66,103 ms,-183
69,0 ms,-80
76,76 ms,-108
73,59 ms,-146
69,11 ms,-31
86,0 ms,-62
69,102 ms,-78
32,57 ms,-105
84,58 ms,-182
72,20 ms,-49
65,43 ms,-67
84,31 ms,-61
32,0 ms,-70
68,58 ms,-396
85,56 ms,-132
8,36 ms,-229
8,65 ms,-117
65,71 ms,-66
32,0 ms,-50
68,75 ms,-187
85,62 ms,-85
83,73 ms,-78
75,68 ms,-116
89,91 ms,-103
32,0 ms,-74
67,132 ms,-267
76,0 ms,-92
65,79 ms,-61
86,9 ms,-69
69,21 ms,-85
32,0 ms,-81
73,53 ms,-190
83,99 ms,-86
32,0 ms,-77
78,58 ms,-62
79,56 ms,-146
84,35 ms,-20
32,0 ms,-65
66,70 ms,-150
85,63 ms,-80
84,92 ms,-67
32,0 ms,-59
65,70 ms,-131
78,0 ms,-58
32,51 ms,-111
79,82 ms,-173
66,56 ms,-156
74,62 ms,-109
69,0 ms,-53
67,62 ms,-168
84,58 ms,-167
73,55 ms,-65
86,53 ms,-81
69,0 ms,-17
190,63 ms,-287
32,62 ms,-114
70,90 ms,-107
69,102 ms,-190
87,0 ms,-33
32,0 ms,-63
67,102 ms,-192
65,35 ms,-55
78,0 ms,-62
32,76 ms,-86
78,73 ms,-233
65,62 ms,-82
77,81 ms,-93
69,24 ms,-58
32,0 ms,-50
65,83 ms,-97
32,0 ms,-79
76,72 ms,-198
73,43 ms,-163
77,75 ms,-128
66,0 ms,-67
65,76 ms,-69
84,59 ms,-114
69,101 ms,-91
32,45 ms,-102
76,58 ms,-203
69,82 ms,-98
79,60 ms,-93
32,48 ms,-91
84,58 ms,-85
72,60 ms,-80
65,28 ms,-56
84,32 ms,-55
32,0 ms,-55
73,66 ms,-92
83,87 ms,-97
78,0 ms,-78
222,31 ms,-209
84,82 ms,-78
32,0 ms,-75
65,66 ms,-243
32,0 ms,-50
83,93 ms,-292
85,69 ms,-91
78,103 ms,-471
76,89 ms,-250
73,60 ms,-192
84,94 ms,-233
32,0 ms,-70
83,45 ms,-242
73,29 ms,-135
76,113 ms,-201
86,45 ms,-125
69,46 ms,-28
82,10 ms,-79
32,0 ms,-138
8,55 ms,-515
190,86 ms,-107
32,72 ms,-125
84,195 ms,-308
72,73 ms,-139
69,45 ms,-54
32,0 ms,-58
66,87 ms,-305
79,71 ms,-90
87,101 ms,-72
32,0 ms,-69
73,64 ms,-90
83,4 ms,-49
32,0 ms,-82
65,63 ms,-91
32,0 ms,-4
77,63 ms,-305
73,44 ms,-165
84,0 ms,-27
84,67 ms,-128
69,0 ms,-62
78,70 ms,-109
190,69 ms,-194
32,72 ms,-129
72,70 ms,-303
79,69 ms,-158
87,2 ms,-43
69,26 ms,-129
86,7 ms,-101
69,0 ms,-74
82,62 ms,-145
188,108 ms,-129
32,40 ms,-132
84,45 ms,-557
72,74 ms,-112
69,3 ms,-55
32,0 ms,-83
65,105 ms,-301
68,0 ms,-56
8,62 ms,-260
82,138 ms,-84
65,45 ms,-119
87,0 ms,-69
69,82 ms,-376
82,28 ms,-39
32,0 ms,-96
73,49 ms,-582
83,33 ms,-38
32,0 ms,-58
65,107 ms,-104
32,0 ms,-57
66,74 ms,-211
89,32 ms,-265
8,47 ms,-242
65,9 ms,-36
89,0 ms,-73
190,52 ms,-100
32,54 ms,-173
73,68 ms,-338
8,70 ms,-225
73,56 ms,-125
70,85 ms,-91
32,0 ms,-58
84,63 ms,-251
72,76 ms,-133
73,65 ms,-478
83,37 ms,-40
32,0 ms,-68
87,90 ms,-302
65,63 ms,-79
83,53 ms,-76
32,0 ms,-74
83,83 ms,-182
79,21 ms,-245
77,50 ms,-243
69,103 ms,-102
87,45 ms,-407
72,76 ms,-144
65,73 ms,-77
84,0 ms,-52
32,35 ms,-90
85,17 ms,-288
78,57 ms,-261
8,60 ms,-231
85,55 ms,-174
8,55 ms,-460
78,64 ms,-150
67,65 ms,-414
76,49 ms,-66
69,108 ms,-146
65,14 ms,-70
82,20 ms,-106
32,0 ms,-88
8,86 ms,-202
188,101 ms,-123
32,65 ms,-153
70,55 ms,-326
69,126 ms,-159
87,0 ms,-26
32,0 ms,-97
67,62 ms,-184
65,32 ms,-484
78,56 ms,-55
32,68 ms,-109
78,60 ms,-503
65,25 ms,-78
77,73 ms,-96
69,0 ms,-39
32,66 ms,-190
65,95 ms,-120
32,0 ms,-62
80,82 ms,-291
65,38 ms,-106
85,55 ms,-89
78,106 ms,-111
67,65 ms,-121
72,62 ms,-70
89,94 ms,-159
32,0 ms,-71
66,74 ms,-304
76,0 ms,-72
85,55 ms,-201
69,107 ms,-68
32,0 ms,-86
84,63 ms,-136
72,0 ms,-61
65,100 ms,-60
84,25 ms,-69
32,0 ms,-69
73,48 ms,-101
83,91 ms,-77
78,53 ms,-110
222,80 ms,-180
84,45 ms,-110
32,0 ms,-21
65,81 ms,-149
32,0 ms,-54
67,57 ms,-175
79,50 ms,-140
78,68 ms,-114
79,45 ms,-340
73,60 ms,-207
68,96 ms,-65
32,0 ms,-86
66,71 ms,-270
79,69 ms,-212
87,0 ms,-63
190,63 ms,-143
32,52 ms,-83
84,132 ms,-203
72,59 ms,-98
69,96 ms,-73
32,0 ms,-64
85,62 ms,-92
78,85 ms,-218
68,79 ms,-261
82,73 ms,-179
85,0 ms,-65
78,81 ms,-123
75,78 ms,-122
32,68 ms,-92
82,84 ms,-217
65,84 ms,-87
73,61 ms,-192
76,84 ms,-142
87,32 ms,-48
65,0 ms,-68
89,66 ms,-124
32,75 ms,-97
82,122 ms,-200
69,0 ms,-112
86,97 ms,-142
69,75 ms,-262
65,0 ms,-48
76,84 ms,-112
83,27 ms,-58
32,0 ms,-72
73,72 ms,-271
84,77 ms,-163
83,86 ms,-161
69,0 ms,-63
76,82 ms,-100
70,26 ms,-65
32,0 ms,-64
65,78 ms,-140
83,24 ms,-38
32,0 ms,-84
65,85 ms,-77
32,0 ms,-72
83,75 ms,-328
8,48 ms,-316
68,82 ms,-56
79,55 ms,-103
87,66 ms,-62
78,70 ms,-102
83,113 ms,-73
84,71 ms,-166
65,65 ms,-70
71,74 ms,-120
69,14 ms,-55
32,0 ms,-94
66,98 ms,-149
65,0 ms,-71
77,34 ms,-99
66,42 ms,-139
79,61 ms,-102
79,50 ms,-122
32,50 ms,-128
84,67 ms,-251
79,53 ms,-69
32,77 ms,-75
84,36 ms,-207
72,64 ms,-158
79,28 ms,-116
83,91 ms,-62
69,20 ms,-67
32,0 ms,-75
87,60 ms,-152
72,70 ms,-112
79,53 ms,-148
32,50 ms,-53
76,34 ms,-137
79,40 ms,-151
79,58 ms,-320
75,67 ms,-133
